,course_subject,male_percentage,total
0,ABRD,26.884422110552762,796
1,ACB,41.00185528756957,2156
2,ACCT,63.37623854060561,10799
3,ACTS,69.49152542372882,944
4,AERO,64.03361344537815,595
5,AFAM,46.220159151193634,1508
6,AMCS,67.14285714285714,70
7,AMST,54.49317038102085,2782
8,ANES,55.19125683060109,549
9,ANIM,42.34234234234234,111
10,ANTH,41.16635128161018,11626
11,ARAB,44.76885644768856,411
12,ARTH,36.928815666770284,6434
13,ARTS,39.36327219059667,4743
14,ASIA,16.071428571428573,56
15,ASL,16.69316375198728,1887
16,ASP,16.46551724137931,1160
17,ASTR,59.60964408725603,4355
18,AT,64.81481481481481,54
19,ATEP,21.568627450980394,153
20,BAIS,62.79915177219024,6602
21,BBC,34.21052631578947,38
22,BIOC,45.96003475238923,3453
23,BIOL,34.59369024856597,20920
24,BIOS,40.17449106771915,2407
25,BME,56.10802223987291,6295
26,BMED,49.464922711058264,841
27,BMS,44.44444444444444,18
28,BUS,60.54064201238971,5327
29,CBE,67.82334384858044,4438
30,CBH,18.96551724137931,522
31,CBIO,73.61963190184049,163
32,CCCC,24.6031746031746,378
33,CCP,48.78154917319408,6894
34,CEE,65.35859269282814,5173
35,CERM,26.412429378531073,708
36,CHEM,40.40430401092062,49814
37,CHIN,49.05263157894737,1425
38,CINE,61.83651159965991,8233
39,CL,30.29197080291971,548
40,CLAS,44.08945686900959,313
41,CLSA,42.47526836455483,9502
42,CLSG,40.909090909090914,176
43,CLSL,45.56390977443609,665
44,CNW,33.715319662243665,1658
45,COMM,36.03284977820405,16682
46,CPH,25.803772689524262,8429
47,CRIM,37.52068851373717,6042
48,CS,77.26031048037844,15009
49,CSD,8.227940107573776,6879
50,CSI,36.79043423536816,7945
51,CTS,72.72727272727273,11
52,CW,39.255649091714666,6771
53,DANC,17.06225922704113,8047
54,DENT,50.90329436769394,941
55,DERM,50.324675324675326,308
56,DIET,8.108108108108109,74
57,DPA,27.586206896551722,290
58,DPH,27.485380116959064,171
59,DRAW,31.135531135531135,273
60,DSGN,35.52465233881163,791
61,DST,12.087912087912088,546
62,EALL,28.076923076923077,260
63,ECE,80.08505645989148,6819
64,ECON,66.39293894195855,17901
65,EDTL,19.61058716154548,16435
66,EES,49.88528602018966,13076
67,EHOP,9.67741935483871,31
68,EM,57.87234042553191,470
69,EMTP,54.65116279069767,86
70,ENDO,52.27043390514632,991
71,ENGL,39.672835426305355,18156
72,ENGR,72.45069810398218,18407
73,ENTR,60.3763987792472,11796
74,ENVS,47.32297063903281,579
75,EPID,33.077905491698594,1566
76,EPLS,31.3971340839304,3908
77,ESL,55.15723270440252,3180
78,EVNT,15.424610051993067,1154
79,FAM,49.53560371517028,646
80,FAMD,49.90791896869245,1086
81,FIN,73.19340752218622,14198
82,FPC,30.120481927710845,83
83,FREN,41.851368970013034,3835
84,FRRB,53.333333333333336,165
85,GENE,43.06049822064057,281
86,GEOG,50.59490715000556,8993
87,GHS,18.617824773413897,2648
88,GRAD,55.690402476780186,8075
89,GRMN,55.22447357965833,2517
90,GSND,12.244897959183673,49
91,GWSS,18.291284403669724,3488
92,HHP,31.547670686214975,23054
93,HIST,56.12765633330794,13129
94,HMP,42.74839743589743,2496
95,HONR,33.424077434966726,3306
96,HPAS,43.895665972428844,10083
97,HRTS,25.196850393700785,381
98,IALL,0.0,5
99,IBA,30.303030303030305,198
100,IE,74.4186046511628,1118
101,IGPI,55.81395348837209,86
102,IIEP,60.50700466977985,1499
103,IM,55.136663524976434,2122
104,IMMU,38.62928348909657,321
105,INTD,45.94594594594595,111
106,INTL,0.0,4
107,INTM,43.41463414634146,205
108,IS,32.318928788800974,1643
109,ISE,67.10775047258979,1587
110,ITAL,45.1741861793261,1751
111,IWP,23.239436619718308,142
112,IYWS,18.6046511627907,129
113,JMC,41.282702739820095,14563
114,JPNS,47.976111479761116,1507
115,KORE,20.23217247097844,603
116,LAS,20.833333333333336,168
117,LATH,25.71428571428571,70
118,LATS,22.085889570552148,326
119,LAW,53.55847296596994,11578
120,LING,28.698105602579606,2481
121,LLS,52.3296447291788,6868
122,LS,49.72527472527473,4004
123,LWAB,50.0,6
124,MATH,56.34939104801799,38673
125,MBA,63.8669600103533,7727
126,ME,87.38221436984688,6792
127,MED,48.289962825278806,8070
128,MGMT,59.85379410343161,16552
129,MICR,31.16585505585792,3491
130,MILS,76.54135338345864,665
131,MKTG,55.51969546507779,12084
132,MMED,44.189852700491,611
133,MPB,40.83769633507853,382
134,MSCI,64.64477910808894,23971
135,MSTP,52.1505376344086,186
136,MTLS,34.04255319148936,329
137,MUS,48.54593345159383,18603
138,MUSM,33.18250377073906,663
139,NAIS,36.84210526315789,133
140,NEUR,50.58139534883721,516
141,NSCI,38.23529411764706,544
142,NSG,100.0,15
143,NURS,12.473146279539092,15361
144,OBG,43.24786324786325,585
145,OEH,32.825880114176975,1051
146,OMFS,51.717171717171716,990
147,OPER,46.99915469146239,1183
148,OPHT,49.34725848563969,383
149,OPRM,52.661680598328196,2273
150,ORDN,51.074718526100305,977
151,ORSC,36.36363636363637,451
152,ORTH,62.129144851657934,573
153,OSTC,100.0,2
154,OTO,54.151624548736464,277
155,OTP,0.0,12
156,PA,47.13302752293578,872
157,PATH,48.701298701298704,1232
158,PCD,50.32348804500704,3555
159,PCOL,40.0,665
160,PEDO,38.79093198992443,794
161,PEDS,43.93404004711425,849
162,PERF,53.714285714285715,175
163,PERI,51.38121546961326,1086
164,PHAR,35.780892978447476,16193
165,PHIL,47.966679784861604,15246
166,PHTO,37.05463182897862,421
167,PHYS,59.87850908233073,16956
168,PNTG,20.822622107969153,389
169,POLI,52.74616526472043,18189
170,PORT,52.98245614035088,285
171,PRNT,32.64248704663213,579
172,PROS,52.49549007817198,3326
173,PSQF,29.2083403966774,5899
174,PSY,28.088857337237847,33807
175,PSYC,48.201438848920866,834
176,PTRS,42.87198130355752,3851
177,RAD,52.52854812398042,613
178,RADO,75.67567567567568,37
179,RCE,24.741287022719163,8407
180,REA,60.318396226415096,1696
181,RELS,41.211621677313005,4853
182,RHET,46.3435679873445,13907
183,RSCI,13.725490196078432,153
184,RSCT,14.112903225806454,248
185,RSMR,9.565217391304348,115
186,RSMS,0.14306151645207438,699
187,RSNM,22.55639097744361,133
188,RSP,9.642857142857144,840
189,RSRT,8.88888888888889,450
190,RSTH,20.2020202020202,198
191,RUSS,49.544626593806925,1647
192,SCLP,37.573964497041416,338
193,SIED,42.28855721393035,201
194,SJUS,18.34862385321101,436
195,SLA,6.25,48
196,SLIS,26.203208556149733,935
197,SOAS,75.0,20
198,SOC,35.39175183010799,13797
199,SPAN,34.970178926441356,10060
200,SPST,69.86177884615384,3328
201,SRM,66.19995087202162,12213
202,SSW,11.401332114405118,7657
203,STAT,55.52762475263411,18697
204,SURG,51.298701298701296,616
205,SWAH,73.32695984703633,1046
206,TAPE,52.450980392156865,408
207,TBM,47.82608695652174,92
208,TDSN,58.514492753623195,552
209,THTR,41.23048668503214,6534
210,TOX,51.76470588235295,255
211,TR,6.530363137015563,3277
212,TRNS,27.364185110663986,497
213,UICB,20.291616038882136,823
214,ULIB,48.07692307692308,104
215,URES,31.756214915797916,1247
216,URO,55.757575757575765,330
217,URP,52.495840266222956,1202
218,WLLC,22.110552763819097,199
219,WRIT,35.19843851659076,1537
